Name,Descriptio,X_coord,Y_coord
RRRCN91,6/5/2003,70.646,43.4228
RRRCN92,6/5/2003,69.5538,43.1285
RRRCN93,6/5/2003,69.8488,42.8299
RRRCN94,6/5/2003,70.4025,42.6931
RRRCN95,6/5/2003,70.4777,42.6346
RRRCN96,6/5/2003,70.7962,42.8716
RRRCN97,6/5/2003,71.1215,42.9326
RRRCN98,6/5/2003,70.94,42.8144
RRRCN99,6/5/2003,69.8799,43.5164
W10,9/9/2019,69.7309,42.91955
W11,8/20/2019,70.30493,42.21909
W12,8/6/2019,68.82509,43.45819
W13,8/4/2019,70.94445,42.81611
W14,7/10/2019,70.09708,42.44222
W15,7/6/2019,68.85449,43.49786
W16,7/5/2019,69.33469,43.63718
W17,6/30/2019,69.89832,42.00208
W18,6/30/2019,70.85039,42.83966
W19,5/21/2019,70.32604,42.71383
W2,3/24/2021,70.94416,42.81502
W20,6/4/2018,68.62271,41.76705
W21,5/4/2018,68.58757,41.76092
W23,9/12/2017,70.3567,42.75383
W24,8/7/2017,69.6294,42.0412
W25,8/6/2017,68.90476,43.72323
W26,8/5/2017,70.94915,42.89199
W28,7/7/2017,68.59356,41.76509
W29,6/24/2017,68.94201,41.9531
W3,3/24/2021,70.87394,42.82549
W30,6/12/2017,70.94622,42.81741
W31,6/3/2017,68.62843,41.76832
W32,7/22/2016,70.93502,42.81979
W34,6/1/2016,70.93486,42.81946
W35,5/26/2016,69.70652,43.00824
W37,5/8/2016,67.76861,42.31752
W38,5/8/2016,67.76379,42.31067
W41,5/6/2015,70.29731,42.31626
W44,6/26/2014,70.9795,42.8057
W47,5/2/2014,67.64464,43.92769
W49,7/9/2013,70.51835,42.45318
W51,5/31/2013,70.98053,42.80723
W52,3/30/2013,69.9972,42.4425
W53,7/7/2006,67.76305,42.30905
W6,7/12/2020,69.93441,41.97215
W7,6/24/2020,70.02149,42.34797
W8,5/31/2020,70.94547,42.81653
W9,9/9/2019,69.81793,42.86436
X101,5/15/2006,70.53834,42.31708
X106,6/30/2019,69.90993,41.97624
X109,6/9/2019,69.11136,43.56871
X11,3/30/2013,69.9972,42.4425
X113,7/1/2018,69.88916,42.01738
X124,6/27/2017,68.32868,43.96645
X125,5/2/2017,68.66242,43.54809
X126,5/13/2017,68.71772,43.68456
X127,5/14/2017,68.79672,43.70732
X128,5/10/2017,68.83753,43.69338
X129,5/3/2017,68.79393,43.70823
X130,4/30/2017,68.68905,43.54728
X16,5/23/2014,67.7613,42.2794
X17,6/26/2014,70.97857,42.80443
X18,8/26/2014,70.48895,42.86437
X28,5/8/2016,67.75919,42.27867
X29,5/8/2016,67.75591,42.27775
X30,5/8/2016,67.76379,42.28447
X31,6/1/2016,70.93293,42.81822
X34,6/24/2016,67.76274,42.28386
X51,5/30/2017,68.79931,43.50991
X52,5/19/2015,70.73118,43.58105
X53,5/27/2015,69.89854,42.83597
X56,8/19/2021,69.8249,42.69484
X57,7/18/2021,69.89674,41.99439
X58,5/28/2000,70.16106,42.31588
X61,8/18/2021,69.5539,43.1285
X64,5/10/2021,69.8683,43.0507
X66,6/27/2021,69.92695,41.97032
X67,7/18/2021,69.83102,42.85368
X69,5/10/2021,69.8683,43.0507
X70,6/13/2021,69.4025,43.2243
X71,5/16/2021,70.28088,42.22104
X77,6/2/2007,71.01186,42.68854
X85,6/24/2020,69.85411,42.22778
X96,6/22/2019,69.48047,43.76076
